episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max,reward_smooth,loss_smooth,q_smooth,eps_smooth
147,20.0,105282,,0.019320143,2.2003183,2.7253716,0.6226048000000001,2.216666666666667,0.0,1.0,10.5,0.01862236422,1.9554288645,0.7501082320000001
148,5.0,105650,,0.01666311,2.2579417,2.794638,0.6203224,2.2255434782608696,0.0,1.0,10.44,0.01858952467,1.9740972975,0.7475063680000001
149,11.0,106340,,0.019047415,2.2445314,2.784809,0.6184215999999999,2.1159420289855078,0.0,1.0,10.47,0.018587425579999997,1.9927393974999998,0.744910192
150,13.0,107158,,0.015921129,2.250876,2.7879853,0.6157072,2.399755501222494,0.0,1.0,10.56,0.01855671732,2.0115356035,0.74230588
151,6.0,107817,,0.017140545,2.2379467,2.771579,0.6130431999999999,2.520485584218513,0.0,1.0,10.58,0.01853040522,2.029603313,0.7396920640000001
152,15.0,108566,,0.0152861625,2.2468994,2.7835484,0.6105088,2.054739652870494,0.0,1.0,10.61,0.018493694755,2.046431009,0.7370758
153,14.0,109746,,0.017285146,2.243916,2.7762833,0.6070384,2.120338983050848,0.0,1.0,10.7,0.018420943075,2.062967777,0.734444344
154,10.0,110365,,0.017892659,2.2780626,2.818963,0.6037984,1.6655896607431342,0.0,1.0,10.72,0.018410755205,2.0801264020000003,0.7318038880000001
155,12.0,111168,,0.018970326,2.3215227,2.8734374,0.6012424,1.8281444582814448,0.0,1.0,10.73,0.018392614205,2.09764445,0.729166672
156,8.0,111955,,0.018034065,2.3190262,2.8685858,0.598384,2.569250317662008,0.0,1.0,10.74,0.018379262955,2.115125656,0.7265247040000001
157,15.0,112793,,0.01628874,2.3124094,2.8602457,0.5954536,1.881861575178997,0.0,1.0,10.73,0.018355513925,2.13275644,0.7238810800000001
158,6.0,113287,,0.017989673,2.3005226,2.844936,0.5930559999999998,2.0931174089068825,0.0,1.0,10.68,0.018325160185,2.14991684,0.721241632
159,9.0,113927,,0.016564418,2.2880006,2.8308432,0.5910184,2.078125,0.0,1.0,10.74,0.018288849265,2.165663641,0.718600816
160,21.0,114874,,0.016457284,2.3011203,2.8450298,0.5881599999999999,2.1520591341077084,0.0,1.0,10.83,0.018247361365,2.181551708,0.7159519360000001
161,25.0,116126,,0.017973091,2.3089318,2.853029,0.5842,2.074281150159744,0.0,1.0,10.92,0.018238423424999997,2.197649774,0.713291608
162,7.0,116621,,0.019293932,2.314565,2.8615558,0.5810536,2.0484848484848484,0.0,1.0,10.9,0.018221592635,2.21367844,0.7106255920000001
163,7.0,117322,,0.018607335,2.3069496,2.84878,0.5789008,2.3680456490727533,0.0,1.0,10.85,0.018224628885,2.229643208,0.707964472
164,18.0,118408,,0.014693788,2.3024435,2.8445485,0.5756895999999999,2.0211786372007365,0.0,1.0,10.97,0.018190586315,2.2455976250000003,0.705298816
165,13.0,119373,,0.017306328,2.32443,2.8674757,0.571996,2.157512953367876,0.0,1.0,11.02,0.018164796635,2.261682758,0.702619048
166,12.0,120015,,0.014620937,2.313352,2.8543713,0.5691016,2.143302180685358,0.0,1.0,10.91,0.018119965595,2.277325483,0.699945184
167,11.0,120658,,0.01704103,2.3341095,2.8791764,0.5667903999999999,2.093312597200622,0.0,1.0,10.88,0.018106910065000002,2.2928555520000002,0.697291264
