episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max,reward_smooth,loss_smooth,q_smooth,eps_smooth
206,4.0,139273,,0.005910725,0.4112145,0.51516134,0.916564,2.235294117647059,0.0,1.0,9.42,0.0055501589749999995,0.17936645837,0.935631592
207,6.0,139661,,0.0067906957,0.41131803,0.5230294,0.9163192,2.2989690721649483,0.0,1.0,9.43,0.005568685912,0.18316267076999998,0.9352324960000001
208,9.0,140429,,0.0069194497,0.41163814,0.5166113,0.9159724,2.1627604166666665,0.0,1.0,9.43,0.0055796751040000005,0.18687176267000002,0.93483358
209,11.0,141097,,0.007181524,0.43765524,0.5487914,0.9155415999999998,1.8293413173652693,0.0,1.0,9.43,0.005590988319000001,0.19091026737,0.934435888
210,9.0,141588,,0.006217421,0.60039866,0.7456636,0.9151948,2.006109979633401,0.0,1.0,9.44,0.005600901065,0.19701143577,0.934040152
211,11.0,142405,,0.00626382,0.6015934,0.7441929,0.9148024,1.6303549571603426,0.0,1.0,9.5,0.005618734695,0.20317967547000002,0.9336442359999999
212,11.0,143069,,0.0060262377,0.6008597,0.744971,0.9143572,2.0512048192771086,0.0,1.0,9.53,0.005628261191999999,0.20934380537,0.933247516
213,15.0,143869,,0.006102841,0.6013628,0.74453324,0.913918,2.04375,0.0,1.0,9.62,0.005644176658,0.21550090797,0.9328498000000001
214,8.0,144628,,0.0073975646,0.73819697,0.91446894,0.9134512,2.131752305665349,0.0,1.0,9.61,0.005664630186999999,0.22333604386999997,0.9324511360000001
215,12.0,145436,,0.0075406544,0.76982796,0.95583487,0.912982,1.702970297029703,0.0,1.0,9.56,0.005692108221000001,0.23151967727,0.9320531320000001
216,8.0,146378,,0.0064098835,0.7682933,0.9465239,0.9124564,2.054140127388535,0.0,1.0,9.51,0.00569818559,0.23958627677000002,0.931654948
217,19.0,147496,,0.011803366,1.0209165,1.2580457,0.9118384000000002,2.278175313059034,0.0,1.0,9.52,0.00575522266,0.25073314267,0.9312560680000002
218,6.0,148065,,0.009100937,1.3433461,1.6538688,0.911332,2.101933216168717,0.0,1.0,9.51,0.0057807048399999995,0.26592368907,0.930857332
219,10.0,148587,,0.008620891,1.3456872,1.6462584,0.9110044,2.293103448275862,0.0,1.0,9.56,0.00578475709,0.28102131107,0.93045856
220,3.0,148985,,0.009987039,1.345072,1.6537648,0.9107284,2.3266331658291457,0.0,1.0,9.48,0.005825629187,0.29627551057,0.9300607000000001
221,10.0,149578,,0.009809947,1.3443321,1.6442877,0.9104308,1.7740303541315343,0.0,1.0,9.5,0.005875427591,0.31147151391,0.929663368
222,6.0,150023,,0.008833385,1.3477147,1.6473168,0.9101199999999998,2.2269662921348314,0.0,1.0,9.46,0.005910788411,0.32673332837,0.92926624
223,7.0,150419,,0.011014189,1.455237,1.7896585,0.909868,2.303030303030303,0.0,1.0,9.46,0.005968822727999999,0.34349650743,0.9288703119999999
224,19.0,151338,,0.009868778,1.4516287,1.7773238,0.9094732,2.1240478781284,0.0,1.0,9.47,0.006017869897999999,0.36015184817000007,0.9284749720000001
225,4.0,151720,,0.010109781,1.4551597,1.7796524,0.9090832,2.2460732984293195,0.0,1.0,9.44,0.006059621248,0.37676261187000004,0.928080352
226,16.0,152520,,0.0092762895,1.4531763,1.7820904,0.9087292,1.8075,0.0,1.0,9.5,0.006090028376000001,0.39336880876999997,0.927686056
227,18.0,153478,,0.008488264,1.4865228,1.8172181,0.9082012,2.152400835073069,0.0,1.0,9.6,0.0061219896579999995,0.41043632006999997,0.927290368
228,9.0,154244,,0.010373742,1.526247,1.8641315,0.9076839999999998,2.485639686684073,0.0,1.0,9.59,0.006166618335,0.42798837626999997,0.9268933
229,14.0,155084,,0.010216698,1.5257789,1.862695,0.9072028,1.7940476190476191,0.0,1.0,9.69,0.006214249995000001,0.44559845697,0.926494912
230,8.0,155736,,0.010087962,1.5244626,1.8610682,0.9067551999999998,2.233128834355828,0.0,1.0,9.6,0.0062566989299999995,0.46320646147,0.926096692
231,5.0,156125,,0.011363998,1.555109,1.8981166,0.906442,2.2467866323907457,0.0,1.0,9.56,0.0063222088199999995,0.48119623896999997,0.925699888
232,6.0,156641,,0.00938866,1.6147255,1.9717115,0.9061696,2.0193798449612403,0.0,1.0,9.54,0.006358366147,0.49996427667,0.925304224
233,12.0,157438,,0.009044193,1.6137196,1.9717412,0.905776,1.8983688833124213,0.0,1.0,9.58,0.0063858621970000005,0.51864882712,0.9249087879999999
234,4.0,157836,,0.009235697,1.6149544,1.9720291,0.9054184000000002,2.243718592964824,0.0,1.0,9.49,0.00643128897,0.53745794162,0.924513784
235,11.0,158620,,0.010183701,1.6131806,1.9662491,0.9050644,2.3456632653061225,0.0,1.0,9.4,0.00647456873,0.55615412346,0.924120556
236,1.0,159025,,0.018839939,1.6575198,2.0201254,0.9047068,2.269135802469136,0.0,1.0,9.37,0.006603927917,0.57549303266,0.923728648
237,11.0,159740,,0.02416673,2.4238267,2.9736109,0.9043708,1.7202797202797202,0.0,1.0,9.41,0.006788939801,0.60433291396,0.9233369200000001
238,14.0,160917,,0.014427695,2.42036,2.950773,0.9038032,2.139337298215803,0.0,1.0,9.42,0.006879889340999999,0.63297527916,0.922943188
239,14.0,161735,,0.014162033,2.4207122,2.9559333,0.9032044,2.1662591687041566,0.0,1.0,9.42,0.006974092191,0.6616625678600001,0.9225478119999999
240,8.0,162584,,0.019834008,1.9892378,2.4207373,0.9027052,2.188457008244994,0.0,1.0,9.42,0.007119822185,0.6848609693600001,0.9221514519999999
241,17.0,163724,,0.011469504,1.7836866,2.1692512,0.9021088,2.340350877192982,0.0,1.0,9.5,0.007182307854999999,0.70553002346,0.921752572
